column_name	nullable	data_default
SALBASEANTERIOR	Y	
DTFIMQUARENTENA	Y	
MTVDESLIGTSV	Y	
NMSOCIAL	Y	
INFOCOTA	N	'N' 
JUSTCONTR	Y	
TPINCLCONTR	Y	
SUSPEXPAFAST	N	'S' 
TEMDESCASSIST	N	'N' 
TPINSCTOMADOR	Y	
TPINSCESTABVINC	Y	
NRINSCTOMADOR	Y	
CPFSUBSTITUIDO	Y	
JUSTPRORR	Y	
NRINSCESTABVINC	Y	
CODTPR	Y	
INDMV	N	0
ENVESOCIAL	N	'N' 
RECIBOESOCIAL	Y	
INIVALESOCIAL	Y	
FIMVALESOCIAL	Y	
TEMCONTRIBSINDICAL	N	'N' 
APRENDIZGRAVIDA	N	'N' 
SITESOCIAL	Y	
CODCATEGTRABCEDIDO	Y	
TPREGTRABCED	Y	
TPREGPREVCED	Y	
IDCONSIG	N	'N' 
INSCONSIG	Y	
NRCONTR	Y	
NRCERTOBITO	Y	
NUPROCESSOTRAB	Y	
INDNIF	Y	
NIFBENEF	Y	
INDCUMPRPARC	Y	
DTTRANSFDEST	Y	
CODEMPDEST	Y	
CODFUNCDEST	Y	
CNPJDESTTRANSF	Y	
CODMOTDESLIGTRANSF	Y	
REMUNBASE	Y	
SALPROFESSOR	Y	
DISPPEREXP	N	'N' 
METERG	Y	
OBSERVACAO	Y	
DSCATIVDES	Y	
JORNADAPROF	Y	
JORNADAESPPROF	Y	'N'
DTESOCIAL2205	Y	
DTESOCIAL2206	Y	
OBJDET	Y	
CPFANT	Y	
MATRICANT	Y	
DTALTCPF	Y	
OBSALTCPF	Y	
MATRICULAOLD	Y	
CADINI	Y	
SEMANASPORMES	Y	
CODGRUPOHORARIO	Y	
DTINIGRUPOHR	Y	
ORDEMGRUPOHR	Y	
DIASEMGRUPOHR	Y	
LOTACAOESOCIAL	Y	NULL
PERTENCEDP	N	'N' 
CONTRATOSUSP	N	'N' 
DTVENCEXP1OR	Y	
DTVENCEXP2OR	Y	
CODMAD	Y	
CODMADDEM	Y	
SALAJUSTADOSIND	Y	
REPLIDER	Y	
USUVPJSUP	Y	
ADERIMP927	Y	'S'
SALBASECPU	Y	
HORASSEMCPU	Y	
PERREDCPU	Y	
AJUDACOMP	N	'N' 
SUSPCONTRATO	N	'N' 
AFASTAMENTO	Y	
OBSERVACAOMP	Y	
SEQCPU	Y	
DTINICIORED	Y	
DTFIMRED	Y	
TELEGRAMID	Y	
DTFIMCONTRINT	Y	
CODLTR	Y	
SALBASERED	Y	
HORASSEMRED	Y	
APRENDCONTRIND	N	'N' 
NRINSCINFOCELETISTA	Y	
TRANSFEXTERNA	N	'N' 
INDRETIFESOCIAL2206	Y	
DSCALT	Y	
NUMPROCTSVE	Y	
NRPROCTRAB	Y	
BLOQUEIABATIDAONLINE	Y	'N'
TMPRESIDTRABESTRANG	Y	
CONDINGESTRANG	Y	
MOTEXPATRIADO	Y	
DISPENSAMATRICULA	Y	'N'
CTPSDIGITAL	N	'N' 
DTFIMREMUN	Y	
FORMTRIBU	Y	
ENDFISCEXT	Y	
INDSITREMUNDESLIG	Y	
NATATIVIDADE	Y	
RECIBOESOCIAL2205	Y	
AFASTFGTSANT	Y	
RECIBOESOCIAL2206	Y	
TPINSCAPREND	Y	
DTALTS2200	Y	
MOTDESLIGESOCIAL	Y	
CODTPRJUD	Y	
CAUSAAFASTANT	Y	
CNPJPRAT	Y	
POSSUIFILHOS	Y	
ORIENTACAOSEXUAL	Y	
MOTDESLIGESOCIALANT	Y	
IDENTIDADEGENERO	Y	
NRPROCTRABANT	Y	
AFASTRAISANT	Y	
NATATIVIDADEANT	Y	
RECIBOESOCIAL2200	Y	
DTDEMJUD	Y	
CODCATEGESOCIALANT	Y	
NRINSCAPREND	Y	
MATANOTJUD	Y	
PVD	Y	
DTADMJUD	Y	
DTALTS2299	Y	
INDADMISSAOANT	Y	
NRPROCTRABDESLIG	Y	
CNPJENTQUAL	Y	
DTSENTPROCTRAB	Y	
SITUACAOANT	Y	
DTDISPENSAPONTO	Y	
CODLOCALPONTO	Y	
VALIDADO	Y	
TRANSFSEMONUSCEDENTE	Y	
